Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate
56768.85,0.0573,2024-07-10 02:22:14,51.49,0.0555,50.58,0.054,-0.31544,-31.19841,3e-05,94.04054,-45.96457,52.6,BTC,2024-09-27,52000.0,Put,3252.8551049999996,0.21659843688638433,0.052369475251276325
57202.99,0.0004,2024-07-10 02:22:14,265.16,0.0905,0.0,0.0,0.01164,-8.75173,1e-05,2.77387,0.16393,58.54,BTC,2024-07-19,71000.0,Call,22.881196,0.02534160628529144,0.05233294408817089
57776.43,0.4559,2024-07-10 02:22:14,63.77,0.459,55.04,0.453,0.95113,-6.98958,0.0,39.96681,133.48645,59.56,BTC,2024-12-27,32000.0,Call,26340.274437,0.4652323166678051,0.05112096794295573
59312.18,1.8824,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.92532,-9.64363,0.0,70.90224,-1195.43161,71.27,BTC,2025-03-28,170000.0,Put,111649.247632,0.7138661964492258,0.049531256342724955
57776.43,0.0157,2024-07-10 02:22:14,59.67,0.0165,57.56,0.0145,-0.07389,-9.54941,1e-05,55.23037,-24.15875,58.88,BTC,2024-12-27,35000.0,Put,907.0899509999999,0.4652323166678051,0.05112096794295573
56844.376,0.0262,2024-07-10 02:22:14,0.0,0.0,50.06,0.0105,-0.21972,-64.15127,3e-05,43.8244,-9.491,72.55,BTC,2024-08-02,50000.0,Put,1489.3226511999999,0.06359297240551003,0.052382670864127165
56844.376,0.0021,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.02651,-13.88682,1e-05,8.95035,-1.06859,74.5,BTC,2024-08-02,40000.0,Put,119.37318959999999,0.06359297240551003,0.052382670864127165
56768.21,0.2076,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.684,-31.49636,3e-05,94.54429,-110.94369,53.31,BTC,2024-09-27,66000.0,Put,11785.080396,0.21659843688638433,0.052369475251276325
56768.21,0.009,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.08125,-14.46577,1e-05,39.97905,8.98818,57.9,BTC,2024-09-27,86000.0,Call,510.91389,0.21659843688638433,0.052369475251276325
56844.376,0.4723,2024-07-10 02:22:14,0.0,0.0,0.0,0.005,0.99943,-0.47917,0.0,0.29119,19.7116,79.02,BTC,2024-08-02,30000.0,Call,26847.598784799997,0.06359297240551003,0.052382670864127165
57776.43,0.2239,2024-07-10 02:22:14,59.4,0.2265,57.04,0.221,0.71299,-23.01143,1e-05,134.42314,131.81601,58.3,BTC,2024-12-27,50000.0,Call,12936.142677,0.4652323166678051,0.05112096794295573
56768.21,0.025,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.19245,-25.68881,2e-05,72.69433,20.83965,56.55,BTC,2024-09-27,74000.0,Call,1419.20525,0.21659843688638433,0.052369475251276325
57776.43,0.4253,2024-07-10 02:22:14,61.85,0.4275,54.73,0.4215,0.93452,-8.7722,1e-05,50.32065,137.26314,59.37,BTC,2024-12-27,34000.0,Call,24572.315679,0.4652323166678051,0.05112096794295573
57776.43,0.3392,2024-07-10 02:22:14,60.23,0.342,56.44,0.3365,0.86918,-14.35281,1e-05,83.84305,142.85954,58.3,BTC,2024-12-27,40000.0,Call,19597.765056,0.4652323166678051,0.05112096794295573
57776.43,0.0586,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.27304,-24.04952,1e-05,131.49135,58.0413,62.55,BTC,2024-12-27,82000.0,Call,3385.698798,0.4652323166678051,0.05112096794295573
57689.19,0.024,2024-07-10 02:22:14,199.28,0.0685,50.5,0.0225,0.6167,-211.43117,0.00015,17.39202,2.13262,55.35,BTC,2024-07-12,57000.0,Call,1384.5405600000001,0.00621592322518215,0.052308080700192744
60398.73,0.0757,2024-07-10 02:22:14,63.52,0.0755,61.46,0.0705,-0.16557,-13.32994,1e-05,147.62082,-140.66599,63.62,BTC,2025-06-27,40000.0,Put,4572.183861,0.9625000762306466,0.047939999512123854
56911.27,1.0207,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.99921,-0.98221,0.0,0.33486,-53.57237,99.78,BTC,2024-07-26,115000.0,Put,58089.333288999995,0.04446728934540073,0.05235780747614902
56911.27,0.0007,2024-07-10 02:22:14,299.27,0.0795,0.0,0.0,-0.01012,-8.51726,0.0,3.23541,-0.27345,85.71,BTC,2024-07-26,38000.0,Put,39.837889,0.04446728934540073,0.05235780747614902
56768.21,0.001,2024-07-10 02:22:14,66.78,0.0012,64.54,0.0009,0.01092,-3.15362,0.0,7.61559,1.21836,65.66,BTC,2024-09-27,120000.0,Call,56.76821,0.21659843688638433,0.052369475251276325
56911.27,0.0015,2024-07-10 02:22:14,53.8,0.0017,51.37,0.0013,0.03528,-15.10028,1e-05,9.34647,0.85737,52.59,BTC,2024-07-26,70000.0,Call,85.366905,0.04446728934540073,0.05235780747614902
57774.33,1.0927,2024-07-10 02:22:14,71.99,1.098,61.6,1.087,-0.91225,-12.46534,1e-05,62.88399,-540.38804,67.51,BTC,2024-12-27,120000.0,Put,63130.010391,0.4652323166678051,0.05112096794295573
56911.27,0.0001,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00284,-2.67055,0.0,1.07153,0.07151,84.79,BTC,2024-07-26,96000.0,Call,5.691127,0.04446728934540073,0.05235780747614902
57774.33,0.3645,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.64207,-27.00452,2e-05,147.65109,-272.46509,62.55,BTC,2024-12-27,74000.0,Put,21058.743285,0.4652323166678051,0.05112096794295573
57654.8237,0.0016,2024-07-10 02:22:14,53.06,0.0018,46.57,0.0013,-0.20124,-89.83311,0.00035,4.45816,-0.08854,49.99,BTC,2024-07-10,57000.0,Put,92.24771792,0.0007514423508652096,0.05230097687505613
56910.18,0.3185,2024-07-10 02:22:14,73.27,0.3205,0.0,0.0,-0.98385,-8.83735,1e-05,4.84934,-33.05239,59.32,BTC,2024-07-26,75000.0,Put,18125.89233,0.04446728934540073,0.05235780747614902
57200.63,0.1218,2024-07-10 02:22:14,60.45,0.125,36.53,0.1195,-0.91489,-38.22126,3e-05,14.20415,-15.07186,49.92,BTC,2024-07-19,64000.0,Put,6967.036734,0.02534160628529144,0.05233294408817089
57654.8237,0.0548,2024-07-10 02:22:14,174.64,0.0575,0.0,0.0,0.9895,-19.65875,2e-05,0.44136,0.40807,89.08,BTC,2024-07-10,54500.0,Call,3159.4843387600004,0.0007514423508652096,0.05230097687505613
57672.0069,0.1159,2024-07-10 02:22:14,145.88,0.1185,0.0,0.0,0.98925,-34.69999,1e-05,0.96804,1.76136,91.51,BTC,2024-07-11,51000.0,Call,6684.18559971,0.0034836827880236794,0.052304528787624434
56910.18,0.1299,2024-07-10 02:22:14,61.26,0.1315,49.51,0.1265,0.86933,-45.23013,3e-05,25.5141,18.76624,57.71,BTC,2024-07-26,50000.0,Call,7392.632382,0.04446728934540073,0.05235780747614902
57774.33,0.6,2024-07-10 02:22:14,66.05,0.6055,59.63,0.593,-0.79045,-21.13068,1e-05,113.58299,-374.78524,63.36,BTC,2024-12-27,90000.0,Put,34664.598,0.4652323166678051,0.05112096794295573
56765.67,0.0185,2024-07-10 02:22:14,53.02,0.017,51.96,0.016,-0.12947,-19.20429,1e-05,55.80574,-18.24267,54.56,BTC,2024-09-27,44000.0,Put,1050.164895,0.21659843688638433,0.052369475251276325
57200.82,0.7482,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.99995,-0.09094,0.0,0.02126,-27.42307,85.63,BTC,2024-07-19,100000.0,Put,42797.653524,0.02534160628529144,0.05233294408817089
57669.0913,0.0108,2024-07-10 02:22:14,52.69,0.011,46.29,0.0095,-0.45572,-274.22281,0.00022,13.52111,-0.94079,51.77,BTC,2024-07-11,57500.0,Put,622.82618604,0.0034836827880236794,0.052304528787624434
56765.67,0.5069,2024-07-10 02:22:14,61.61,0.51,50.63,0.5025,-0.91406,-15.11085,1e-05,41.50576,-175.20072,57.72,BTC,2024-09-27,85000.0,Put,28774.518123,0.21659843688638433,0.052369475251276325
56910.29,0.8451,2024-07-10 02:22:14,144.97,0.8485,0.0,0.0,-0.99758,-2.76151,0.0,0.90571,-46.76468,99.25,BTC,2024-07-26,105000.0,Put,48094.886078999996,0.04446728934540073,0.05235780747614902
56765.67,0.1191,2024-07-10 02:22:14,52.04,0.1205,50.05,0.117,0.62878,-32.29516,3e-05,99.99443,62.84746,51.21,BTC,2024-09-27,54000.0,Call,6760.791297,0.21659843688638433,0.052369475251276325
59309.67,0.0192,2024-07-10 02:22:14,71.66,0.0205,69.8,0.018,0.08687,-10.73601,0.0,79.36414,28.73962,70.69,BTC,2025-03-28,160000.0,Call,1138.7456639999998,0.7138661964492258,0.049531256342724955
57668.96,0.034,2024-07-10 02:22:14,65.95,0.0365,29.31,0.032,-0.84974,-156.9503,0.00014,7.96051,-1.78228,50.33,BTC,2024-07-11,59500.0,Put,1960.7446400000001,0.0034836827880236794,0.052304528787624434
57774.66,0.094,2024-07-10 02:22:14,60.29,0.0935,59.53,0.0915,0.39815,-27.04045,2e-05,152.26842,81.98039,60.48,BTC,2024-12-27,70000.0,Call,5430.81804,0.4652323166678051,0.05112096794295573
58246.9708,0.942,2024-07-10 02:22:14,0.0,0.0,0.0,0.005,-0.79023,-24.42812,1e-05,123.87406,-550.12359,78.49,BTC,2025-01-24,110000.0,Put,54868.6464936,0.5417350489082422,0.05063289568698725
56570.66,0.0014,2024-07-10 02:22:14,59.14,0.0014,56.54,0.001,0.01881,-5.62777,0.0,9.74335,1.38208,59.24,BTC,2024-08-30,92000.0,Call,79.198924,0.14009570464594717,0.05248212441603973
57668.96,0.0038,2024-07-10 02:22:14,51.8,0.0041,47.84,0.0034,0.22609,-202.2048,0.00018,10.25582,0.44821,50.33,BTC,2024-07-11,59000.0,Call,219.142048,0.0034836827880236794,0.052304528787624434
60396.47,0.5324,2024-07-10 02:22:14,66.1,0.535,58.82,0.525,0.92268,-7.84725,0.0,85.96074,227.48326,64.32,BTC,2025-06-27,30000.0,Call,32155.080628,0.9625000762306466,0.047939999512123854
56766.24,0.0004,2024-07-10 02:22:14,72.38,0.0006,65.19,0.0002,0.00396,-1.34722,0.0,3.10556,0.44385,68.79,BTC,2024-09-27,140000.0,Call,22.706496,0.21659843688638433,0.052369475251276325
60397.27,0.8462,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.67206,-21.56651,1e-05,214.35919,-885.17822,70.9,BTC,2025-06-27,105000.0,Put,51108.16987399999,0.9625000762306466,0.047939999512123854
57775.64,0.2463,2024-07-10 02:22:14,0.0,0.0,59.36,0.2465,0.74548,-22.02802,1e-05,126.58917,134.54914,59.26,BTC,2024-12-27,48000.0,Call,14230.140131999999,0.4652323166678051,0.05112096794295573
56842.364,0.0065,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.07272,-35.73594,1e-05,20.1553,2.47569,85.14,BTC,2024-08-02,80000.0,Call,369.475366,0.06359297240551003,0.052382670864127165
60397.27,0.4979,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.57369,-20.73009,1e-05,232.90512,-625.91614,62.84,BTC,2025-06-27,82000.0,Put,30071.800733,0.9625000762306466,0.047939999512123854
56911.07,0.2661,2024-07-10 02:22:14,69.73,0.269,0.0,0.265,-0.9771,-10.86606,1e-05,6.52514,-31.54955,54.21,BTC,2024-07-26,72000.0,Put,15144.035727,0.04446728934540073,0.05235780747614902
56843.11,0.1163,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.61934,-80.89739,4e-05,55.53938,-27.50624,69.94,BTC,2024-08-02,61000.0,Put,6610.853693,0.06359297240551003,0.052382670864127165
56571.27,0.0002,2024-07-10 02:22:14,71.74,0.0003,65.04,0.0001,0.00221,-0.96811,0.0,1.47228,0.16351,67.47,BTC,2024-08-30,120000.0,Call,11.314254,0.14009570464594717,0.05248212441603973
57775.65,0.9247,2024-07-10 02:22:14,69.63,0.93,62.01,0.92,-0.88658,-14.64955,1e-05,75.84355,-488.18364,65.78,BTC,2024-12-27,110000.0,Put,53425.143555,0.4652323166678051,0.05112096794295573
59310.12,0.5486,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.6522,-23.23175,1e-05,185.69936,-511.21791,65.56,BTC,2025-03-28,86000.0,Put,32537.531832,0.7138661964492258,0.049531256342724955
60396.7,1.6891,2024-07-10 02:22:14,74.67,1.698,64.56,1.676,-0.85325,-13.71878,1e-05,136.33107,-1481.96331,70.9,BTC,2025-06-27,160000.0,Put,102016.06597,0.9625000762306466,0.047939999512123854
56571.37,0.3166,2024-07-10 02:22:14,56.72,0.32,45.74,0.313,-0.90026,-18.79919,2e-05,37.13993,-96.70612,51.91,BTC,2024-08-30,74000.0,Put,17910.495742,0.14009570464594717,0.05248212441603973
56571.37,0.0556,2024-07-10 02:22:14,49.87,0.0565,48.85,0.055,0.44611,-40.24128,4e-05,83.81821,31.03865,49.24,BTC,2024-08-30,59000.0,Call,3145.368172,0.14009570464594717,0.05248212441603973
57686.1,0.0137,2024-07-10 02:22:14,54.08,0.0145,49.29,0.013,0.45512,-204.75176,0.00017,18.05918,1.58798,51.62,BTC,2024-07-12,58000.0,Call,790.29957,0.00621592322518215,0.052308080700192744
57686.1,0.0001,2024-07-10 02:22:14,111.36,0.0003,98.31,0.0001,0.00483,-6.78449,0.0,0.63954,0.01699,100.0,BTC,2024-07-12,71000.0,Call,5.76861,0.00621592322518215,0.052308080700192744
57669.1318,0.0418,2024-07-10 02:22:14,65.02,0.0435,0.0,0.04,-0.90291,-117.04693,0.0001,5.85696,-1.90512,51.02,BTC,2024-07-11,60000.0,Put,2410.56970924,0.0034836827880236794,0.052304528787624434
58247.7946,0.0514,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.12669,-18.47531,1e-05,89.37301,-56.57377,82.28,BTC,2025-01-24,35000.0,Put,2993.93664244,0.5417350489082422,0.05063289568698725
58247.7946,0.315,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.56945,-26.2216,1e-05,168.97905,-280.89876,61.76,BTC,2025-01-24,70000.0,Put,18348.055299,0.5417350489082422,0.05063289568698725
56571.37,0.6809,2024-07-10 02:22:14,76.62,0.6845,0.0,0.679,-0.98014,-6.32439,0.0,10.20381,-132.00871,63.56,BTC,2024-08-30,95000.0,Put,38519.445833,0.14009570464594717,0.05248212441603973
56911.13,0.0879,2024-07-10 02:22:14,49.83,0.0885,46.2,0.086,-0.73221,-59.50726,6e-05,39.57276,-20.81273,48.95,BTC,2024-07-26,61000.0,Put,5002.488327,0.04446728934540073,0.05235780747614902
